Apartment Name,Address,Website,Rent (2x2 Est.),Star Rating,Comments,Exact Postal Address,Distance (miles),Driving Time (Mon 8AM),Distance (miles),Driving Time (Mon 8AM)
3025 Mansion,3025 S Figueroa St Los Angeles CA 90007,https://www.3025m.com/,"$1,250/mo",5.0,"Secured entry & parking, spacious units, responsive management. Near USC.","3025 S Figueroa St, Los Angeles, CA 90007",0.5,3 min,0.5,3 min
The Standard at LA,2827 S Hoover St Los Angeles CA 90007,https://www.thestandardlosangeles.com/,N/A,5.0,"Fully furnished, great amenities, near USC campus, friendly staff.","2827 S Hoover St, Los Angeles, CA 90007",0.5,3 min,0.5,3 min
Hub LA Figueroa,2722 S Figueroa St Los Angeles CA 90007,https://huboncampus.com/figueroa/,"$3,280+/mo",4.9,"Pool, study rooms, excellent USC student community, great management.","2722 S Figueroa St, Los Angeles, CA 90007",0.5,3 min,0.5,3 min
Heritage 2831,2831 University Ave Los Angeles CA 90007,https://heritagestudenthousing.com/heritage-2831/,N/A,4.9,"5-10 min walk to USC, private rooms, great management team.","2831 University Ave, Los Angeles, CA 90007",0.5,2 min,0.5,2 min
The Brockman Lofts,530 W 7th St Los Angeles CA 90014,https://www.simpsonpropertygroup.com/apartments/los-angeles-california/the-brockman-lofts-downtown,N/A,4.3,"DTLA lofts, valet, doorman, beautifully maintained, strong community.","530 W 7th St, Los Angeles, CA 90014",2.5,10 min,2.5,10 min
The 505,505 W 31st St Los Angeles CA 90007,https://www.the505la.com/,"$5,200+",4.8,"Next to Starbucks, 24/7 security, free Lyft zone, spacious bedrooms near USC.","505 W 31st St, Los Angeles, CA 90007",0.5,3 min,0.5,3 min
Hub LA Coliseum,3800 S Figueroa St Los Angeles CA 90037,https://huboncampus.com/losangeles/,"$3,445+/mo",4.8,"Modern layouts, spacious units, great amenities, excellent staff.","3800 S Figueroa St, Los Angeles, CA 90037",0.5,3 min,0.5,3 min
Jefferson Flats,1320 W Jefferson Blvd Los Angeles CA 90007,https://www.thejeffersonflats.com/,"$2,225/mo",4.8,"Gym, rooftop decks, coffee bar, hangout spaces, ideal for USC students.","1320 W Jefferson Blvd, Los Angeles, CA 90007",0.5,2 min,0.5,2 min
CDI Management (USC),1102 W 29th St Los Angeles CA 90007,http://www.uscspots.com/,"$3,495/mo",4.7,"Exceptional management, quiet building, responsive team, 5-star facilities.","1102 W 29th St, Los Angeles, CA 90007",0.6,5 min,0.6,5 min
Regal Rita Apartments,803 W 30th St Los Angeles CA 90007,http://www.regalrita.com/,"$3,200/mo",4.8,"Clean, well-maintained, short walk to USC campus, great management.","803 W 30th St, Los Angeles, CA 90007",0.5,3 min,0.5,3 min
Roosevelt Lofts,727 W 7th St Los Angeles CA 90017,https://www.rooseveltla.com/,"$5,042+/mo",4.7,"Historic DTLA building, valet, concierge, well-managed, charming character.","727 W 7th St, Los Angeles, CA 90017",2.5,15 min,2.5,15 min
Co/Relate West Adams,2405 Hauser Blvd Los Angeles CA 90016,https://corelateliving.com/,N/A,4.7,"Fully furnished, rooftop, pool, yoga studio, utilities included, near The Grove.","2405 Hauser Blvd, Los Angeles, CA 90016",5.5,9 min,5.5,9 min
sageLA,200 N Vermont Ave Los Angeles CA 90004,http://www.sagela.com/,"$3,944/mo",4.6,"Brand new luxury, spotless gym, excellent responsive staff.","200 N Vermont Ave, Los Angeles, CA 90004",3.5,12 min,3.5,12 min
Galaxy Housing,3934 Wisconsin Pl Los Angeles CA 90037,https://galaxyhousingusa.com/,N/A,4.2,"Affordable student housing, clean, safe, close to USC.","3934 Wisconsin Pl, Los Angeles, CA 90037, United States",1.2,8 min,1.2,8 min
