Apartment Name,Address,Website,Rent (2x2 Est.),Star Rating,Comments
3025 Mansion,3025 S Figueroa St Los Angeles CA 90007,https://www.3025m.com/,N/A,5.0,"Secured entry & parking, spacious units, responsive management. Near USC."
The Standard at LA,2827 S Hoover St Los Angeles CA 90007,https://www.thestandardlosangeles.com/,N/A,5.0,"Fully furnished, great amenities, near USC campus, friendly staff."
Hub LA Figueroa,2722 S Figueroa St Los Angeles CA 90007,https://huboncampus.com/figueroa/,N/A,4.9,"Pool, study rooms, excellent USC student community, great management."
Heritage 2831,2831 University Ave Los Angeles CA 90007,https://heritagestudenthousing.com/heritage-2831/,N/A,4.9,"5-10 min walk to USC, private rooms, great management team."
The Brockman Lofts,530 W 7th St Los Angeles CA 90014,https://www.simpsonpropertygroup.com/apartments/los-angeles-california/the-brockman-lofts-downtown,N/A,4.9,"DTLA lofts, valet, doorman, beautifully maintained, strong community."
The 505,505 W 31st St Los Angeles CA 90007,https://www.the505la.com/,"$5,200+",4.8,"Next to Starbucks, 24/7 security, free Lyft zone, spacious bedrooms near USC."
Hub LA Coliseum,3800 S Figueroa St Los Angeles CA 90037,https://huboncampus.com/losangeles/,N/A,4.8,"Modern layouts, spacious units, great amenities, excellent staff."
Jefferson Flats,1320 W Jefferson Blvd Los Angeles CA 90007,https://www.thejeffersonflats.com/,N/A,4.8,"Gym, rooftop decks, coffee bar, hangout spaces, ideal for USC students."
CDI Management (USC),1102 W 29th St Los Angeles CA 90007,http://www.uscspots.com/,N/A,4.8,"Exceptional management, quiet building, responsive team, 5-star facilities."
Regal Rita Apartments,803 W 30th St Los Angeles CA 90007,http://www.regalrita.com/,N/A,4.8,"Clean, well-maintained, short walk to USC campus, great management."
Roosevelt Lofts,727 W 7th St Los Angeles CA 90017,https://www.rooseveltla.com/,N/A,4.7,"Historic DTLA building, valet, concierge, well-managed, charming character."
Co/Relate West Adams,2405 Hauser Blvd Los Angeles CA 90016,https://corelateliving.com/,N/A,4.7,"Fully furnished, rooftop, pool, yoga studio, utilities included, near The Grove."
sageLA,200 N Vermont Ave Los Angeles CA 90004,http://www.sagela.com/,N/A,4.6,"Brand new luxury, spotless gym, excellent responsive staff."
Galaxy Housing,3934 Wisconsin Pl Los Angeles CA 90037,https://galaxyhousingusa.com/,N/A,4.5,"Affordable student housing, clean, safe, close to USC."
Hope + Flower,1201 S Hope St Los Angeles CA 90015,https://hopeflowerdtla.com/,"$4,500",4.5,"Modern DTLA apartments, yoga classes, welcoming staff, 761 reviews."
Packard Lofts,1000 S Hope St Los Angeles CA 90015,http://www.packardloftsla.com/,N/A,4.5,"Spacious units, great soundproofing, on-site security, central DTLA location."
The Shrine Collection,3030 Shrine Pl Los Angeles CA 90007,http://www.shrinecollection.com/,N/A,4.5,"Fully furnished, 5-10 min walk to USC, in-unit laundry, community events."
The 1200,1200 W 35th St Los Angeles CA 90007,http://www.uscsh.com/,N/A,4.5,"Weekly cleaning, responsive USC student housing, great location."
Heritage 1275,1275 W 30th St Los Angeles CA 90007,https://heritagestudenthousing.com/heritage-1275/,N/A,4.4,"Near USC, Victory Housing management, community events, DJ nights."
Park Fifth,427 W 5th St Los Angeles CA 90013,https://www.parkfifthtower.com/,N/A,4.4,"360 rooftop pool, DTLA high-rise, gym with city views, 252 reviews."
Berkshire K2LA,685 S New Hampshire Ave Los Angeles CA 90005,http://www.berkshirek2la.com/,N/A,4.4,"Responsive maintenance, well-managed, Koreatown location."
Palisades I & II,1210-1226 W Adams Blvd Los Angeles CA 90007,http://www.palisadesusc.com/,N/A,4.4,"Spacious units, good value, near USC campus."
Rise Koreatown,750 S Oxford Ave Los Angeles CA 90005,https://www.liverisekoreatown.com/,N/A,4.3,"State-of-the-art amenities, on-site market & café, Koreatown location."
HWH Luxury Living,354 S Spring St Los Angeles CA 90013,https://hwhluxuryliving.com/,N/A,4.3,"Rooftop pool & hot tub, city views, historic DTLA, 25/7 valet parking."
Villa Vicente,5351 S San Vicente Blvd Los Angeles CA 90019,https://www.esring.com/apartments/ca/los-angeles/villa-vicente/,N/A,4.3,"Park-like grounds, waterfalls, superb maintenance, centrally located."
The Lorenzo,325 W Adams Blvd Los Angeles CA 90007,https://www.thelorenzo.com/,"$3,300",4.2,"USC's largest complex, 1480 reviews, restaurant & pool on-site, great leasing team."
Cardinal Gardens,3131 McClintock Ave Los Angeles CA 90007,http://housing.usc.edu/index.php/buildings/cardinal-gardens/,N/A,4.2,"Right across USC campus, fully furnished 1BR, USC official housing."
Hallasan,696 S New Hampshire Ave Los Angeles CA 90005,https://www.hollandresidential.com/ca/los-angeles/hallasan,N/A,4.2,"Rooftop pool & jacuzzi, 35th-floor city views, Koreatown location."
University Gateway,3335 S Figueroa St Los Angeles CA 90007,https://www.livegw.com/,N/A,4.1,"Directly across from USC, pool, gym, spacious modern units, 647 reviews."
Nari Koreatown,3150 Wilshire Blvd Los Angeles CA 90010,https://www.harborgroupmanagement.com/apartments/ca/los-angeles/koreatown-nari,N/A,4.1,"Luxury, stunning views, amazing amenities, Koreatown, 417 reviews."
3033 Wilshire,3033 Wilshire Blvd Los Angeles CA 90010,https://www.udr.com/los-angeles-apartments/downtown-los-angeles/3033-wilshire/,N/A,4.1,"Fast maintenance, friendly concierge, Wilshire corridor."
Tessera USC,1069 W Exposition Blvd Los Angeles CA 90007,https://www.tesserausc.com/,N/A,4.1,"New build, rooftop pool, near USC Exposition Blvd."
Radius Koreatown,680 S Berendo St Los Angeles CA 90005,http://www.equityapartments.com/los-angeles/wilshire-center/radius-koreatown-apartments,N/A,4.1,"Good floor plans, friendly leasing team, Koreatown, 170 reviews."
Nexen Apartments,2968 W 7th St Los Angeles CA 90005,https://nexenapartments.com/,"$3,280",4.3,"Brand new luxury apartments in Koreatown, smart floor plans, next-level living."
VOX at Cumulus,3333 S La Cienega Blvd Los Angeles CA 90016,https://www.voxatcumulus.com/,"$5,000",4.0,"Modern complex near Culver City, upscale amenities."
Figueroa Eight,744 S Figueroa St Los Angeles CA 90017,https://www.figueroaeight.com/,"$6,000",4.1,"Luxury DTLA high-rise, premium finishes, prime location."
WM by CLG,10401 Washington Blvd Culver City CA 90232,https://www.wmbyclg.com/,"$5,900",4.8,"Culver City luxury, high-end finishes, excellent management."
Met Lofts Apartments,1050 Flower St Los Angeles CA 90015,https://metlofts.com/,"$3,198",4.3,"South Park DTLA lofts, modern design, well-maintained."
888 at Grand Hope Park,888 S Hope St Los Angeles CA 90017,https://888hope.com/,"$4,000",4.1,"Grand Hope Park location, DTLA, modern amenities."
Altitude Apartments,5900 Center Dr Los Angeles CA 90045,N/A,N/A,5.0,"Culver City area, 113 reviews avg 4.7, top-rated complex."
Meadows Apartments,6300 Green Valley Cir Culver City CA 90230,N/A,N/A,4.6,"Culver City, 25 reviews, well-regarded community."
The Mark Culver City,6060 Buckingham Pkwy Culver City CA 90230,N/A,N/A,4.0,"Culver City, modern complex, good location."
Palms Court,10125 Palms Blvd Los Angeles CA 90034,N/A,N/A,4.2,"Palms neighborhood, 1134 reviews, highly reviewed community."
Los Feliz Village,3939 Veselich Ave Los Angeles CA 90039,N/A,N/A,4.5,"Los Feliz, 72 reviews rated Fabulous, boutique community."
Rancho Los Feliz,3205 Los Feliz Blvd Los Angeles CA 90039,N/A,N/A,5.0,"Los Feliz, top-rated grounds and staff."
Los Feliz Apartments,4505-4545 Los Feliz Blvd Los Angeles CA 90027,N/A,N/A,4.0,"Los Feliz Blvd, 134 reviews, established community."

